ID: 2
TITLE: Add Two Numbers
DIFFICULTY: Medium
MATCHMODE: exact
FUNCTION: add_two_numbers
ARGUMENTS: [{"name": "l1", "type": "Optional[ListNode]"}, {"name": "l2", "type": "Optional[ListNode]"}]
RETURN_TYPE: Optional[ListNode]
EXAMPLES: 2

CONDITION:
<p>You are given two <strong>non-empty</strong> linked lists representing two non-negative integers. The digits are stored in <strong>reverse order</strong>, and each of their nodes contains a single digit. Add the two numbers and return the sum as a linked list.</p>
<p>You may assume the two numbers do not contain any leading zero, except the number 0 itself.</p>

TESTS:
<args>[2,4,3], [5,6,4]</args>; <output>[7,0,8]</output>
<args>[0], [0]</args>; <output>[0]</output>
<args>[9,9,9,9,9,9,9], [9,9,9,9]</args>; <output>[8,9,9,9,0,0,0,1]</output>
<args>[5, 0], [1, 4, 3, 6, 3, 1, 6, 7, 9, 7]</args>; <output>[6, 4, 3, 6, 3, 1, 6, 7, 9, 7]</output>
<args>[5, 4, 9], [1, 5]</args>; <output>[6, 9, 9]</output>
<args>[9, 4, 0, 5, 4, 8], [8, 5, 3]</args>; <output>[7, 0, 4, 5, 4, 8]</output>
<args>[4, 9, 8, 1, 7, 7, 6], [8, 4, 6, 1, 8, 0, 3]</args>; <output>[2, 4, 5, 3, 5, 8, 9]</output>
<args>[8, 4, 0, 9, 0, 7, 3, 7, 4, 9], [2, 9, 3, 7]</args>; <output>[0, 4, 4, 6, 1, 7, 3, 7, 4, 9]</output>
<args>[1, 4], [5, 8, 1, 1]</args>; <output>[6, 2, 2, 1]</output>
<args>[9, 6, 9, 1, 3, 5, 7, 5, 4, 1], [9, 1, 9, 8, 9, 5, 4, 0, 8]</args>; <output>[8, 8, 8, 0, 3, 1, 2, 6, 2, 2]</output>
<args>[4, 2, 4, 4, 2, 9, 9, 0], [2, 3, 3, 7, 6, 0, 3, 9, 1, 7]</args>; <output>[6, 5, 7, 1, 9, 9, 2, 0, 2, 7]</output>
<args>[6, 2, 8, 6, 8], [9, 5, 8, 8, 6, 8, 1, 5, 7]</args>; <output>[5, 8, 6, 5, 5, 9, 1, 5, 7]</output>
<args>[3, 2, 7, 0, 0, 0, 8, 8, 6, 8], [9, 5, 1, 2, 4, 3, 7]</args>; <output>[2, 8, 8, 2, 4, 3, 5, 9, 6, 8]</output>
<args>[3, 3, 8, 3, 7, 7, 4, 4, 0], [3, 1, 2, 8, 5, 2, 8, 7, 8]</args>; <output>[6, 4, 0, 2, 3, 0, 3, 2, 9]</output>
<args>[3, 4, 2, 6, 7, 7], [4, 4]</args>; <output>[7, 8, 2, 6, 7, 7]</output>
<args>[4, 8, 9, 1, 0, 3, 5], [0, 4, 2, 6, 1]</args>; <output>[4, 2, 2, 8, 1, 3, 5]</output>
<args>[5, 0, 7], [6, 0, 8, 6, 8, 8, 2, 5, 4]</args>; <output>[1, 1, 5, 7, 8, 8, 2, 5, 4]</output>
<args>[2, 2, 8, 8], [4, 8, 7, 1, 7, 5, 9, 6, 6]</args>; <output>[6, 0, 6, 0, 8, 5, 9, 6, 6]</output>
<args>[1, 5, 2, 9, 1, 4, 1, 7, 0], [4, 3, 8, 0, 8]</args>; <output>[5, 8, 0, 0, 0, 5, 1, 7, 0]</output>
<args>[6], [8, 4, 5]</args>; <output>[4, 5, 5]</output>
<args>[1, 8, 6, 0], [2, 4, 6, 8, 8, 8, 2, 7, 0]</args>; <output>[3, 2, 3, 9, 8, 8, 2, 7, 0]</output>
<args>[4, 7], [1, 0]</args>; <output>[5, 7]</output>
<args>[7, 5, 9, 2, 2, 8, 6, 4, 3], [7, 1, 0, 0, 8, 8, 7, 6]</args>; <output>[4, 7, 9, 2, 0, 7, 4, 1, 4]</output>
<args>[6, 5, 3, 3, 6], [4, 8]</args>; <output>[0, 4, 4, 3, 6]</output>
<args>[0, 0, 9], [2, 1, 7, 1, 3]</args>; <output>[2, 1, 6, 2, 3]</output>
<args>[7, 1, 2, 9, 6, 7], [2, 7, 1, 3, 5, 4, 9]</args>; <output>[9, 8, 3, 2, 2, 2, 0, 1]</output>
<args>[4, 6], [4, 2, 6, 4]</args>; <output>[8, 8, 6, 4]</output>
<args>[2, 1], [9, 6, 0, 0, 5]</args>; <output>[1, 8, 0, 0, 5]</output>
<args>[8, 9], [2, 7, 0, 9, 1, 0, 6]</args>; <output>[0, 7, 1, 9, 1, 0, 6]</output>
<args>[1, 5, 7], [4, 6, 7, 2]</args>; <output>[5, 1, 5, 3]</output>
<args>[0, 9, 4, 0, 4, 3, 9, 7], [7, 6, 3, 2, 0, 0, 0, 0, 8]</args>; <output>[7, 5, 8, 2, 4, 3, 9, 7, 8]</output>
<args>[8, 9, 0, 4, 0], [9, 0, 5, 1, 9, 0, 5, 3]</args>; <output>[7, 0, 6, 5, 9, 0, 5, 3]</output>
<args>[7, 7, 3], [9, 6, 3, 8, 4]</args>; <output>[6, 4, 7, 8, 4]</output>
<args>[6, 8, 8], [0, 0, 9, 0, 1, 1, 0, 9]</args>; <output>[6, 8, 7, 1, 1, 1, 0, 9]</output>
<args>[5, 0, 9, 2, 0, 9, 6, 9, 6, 8], [0, 2, 4, 9]</args>; <output>[5, 2, 3, 2, 1, 9, 6, 9, 6, 8]</output>
<args>[2, 8, 4, 3, 4, 3, 8], [9, 9, 5]</args>; <output>[1, 8, 0, 4, 4, 3, 8]</output>
