ID: 49
TITLE: Group Anagrams
DIFFICULTY: Medium
MATCHMODE: sorted
FUNCTION: group_anagrams
ARGUMENTS: [{"name": "strs", "type": "List[str]"}]
RETURN_TYPE: List[List[str]]
EXAMPLES: 3

CONDITION:
<p>Given an array of strings <code>strs</code>, group the <strong>anagrams</strong> together. You can return the answer in any order.</p>
<p>An anagram is a word or phrase formed by rearranging the letters of a different word or phrase, using all the original letters exactly once.</p>

TESTS:
<args>["eat","tea","tan","ate","nat","bat"]</args>; <output>[["bat"],["nat","tan"],["ate","eat","tea"]]</output>
<args>[""]</args>; <output>[[""]]</output>
<args>["a"]</args>; <output>[["a"]]</output>
<args>["kuwi", "dnovoy", "nooyvd", "ehsxox", "mt", "hsexxo", "wkui", "ic", "hexxso", "ci", "nooydv", "ukiw"]</args>; <output>[["kuwi", "wkui", "ukiw"], ["dnovoy", "nooyvd", "nooydv"], ["ehsxox", "hsexxo", "hexxso"], ["mt"], ["ic", "ci"]]</output>
<args>["ewluq", "wqeul", "tgu", "luewq", "vfzg", "fvgz", "oxqdph", "utg", "pxhqod", "weulq"]</args>; <output>[["ewluq", "wqeul", "luewq", "weulq"], ["tgu", "utg"], ["vfzg", "fvgz"], ["oxqdph", "pxhqod"]]</output>
<args>["dggv", "sgtaw", "gtwsa", "tawsg", "gm", "awgst"]</args>; <output>[["dggv"], ["sgtaw", "gtwsa", "tawsg", "awgst"], ["gm"]]</output>
<args>["lahxdf", "sbtj", "ahxfdl", "afxhld", "kpclxz", "jsh", "hsj", "xhdalf", "jhs", "zxpckl", "sjh"]</args>; <output>[["lahxdf", "ahxfdl", "afxhld", "xhdalf"], ["sbtj"], ["kpclxz", "zxpckl"], ["jsh", "hsj", "jhs", "sjh"]]</output>
<args>["jmb", "jdbaoh", "stkecw", "fpp", "ppf", "mbj", "jmb", "ctswke", "ppf", "bmj", "dnns", "ohjadb", "pfp"]</args>; <output>[["jmb", "mbj", "jmb", "bmj"], ["jdbaoh", "ohjadb"], ["stkecw", "ctswke"], ["fpp", "ppf", "ppf", "pfp"], ["dnns"]]</output>
<args>["hbcnp", "ttwgn", "npchb", "cbnph", "oivmu", "ngwtt", "pcbhn", "muovi"]</args>; <output>[["hbcnp", "npchb", "cbnph", "pcbhn"], ["ttwgn", "ngwtt"], ["oivmu", "muovi"]]</output>
<args>["mkigdx", "fgrlu", "dkximg", "xdimkg"]</args>; <output>[["mkigdx", "dkximg", "xdimkg"], ["fgrlu"]]</output>
<args>["tbwxqi", "wrtlw", "wlrwt", "rlwtw", "ltrww"]</args>; <output>[["tbwxqi"], ["wrtlw", "wlrwt", "rlwtw", "ltrww"]]</output>
<args>["vrlt", "uwuyie", "uiyuwe", "rlvt", "lrvt", "nloxd", "xodln", "dlnox", "yueuiw", "rtvl"]</args>; <output>[["vrlt", "rlvt", "lrvt", "rtvl"], ["uwuyie", "uiyuwe", "yueuiw"], ["nloxd", "xodln", "dlnox"]]</output>
<args>["lfnj", "xuh", "hxee", "lxlq", "xuh", "xlql", "eexh", "jfnl"]</args>; <output>[["lfnj", "jfnl"], ["xuh", "xuh"], ["hxee", "eexh"], ["lxlq", "xlql"]]</output>
<args>["cqnrfj", "lhdpbb", "hlpbbd", "bpbhdl", "lbbdhp", "rqn", "qnr", "cjqnrf", "cqnjrf", "nqr"]</args>; <output>[["cqnrfj", "cjqnrf", "cqnjrf"], ["lhdpbb", "hlpbbd", "bpbhdl", "lbbdhp"], ["rqn", "qnr", "nqr"]]</output>
<args>["sdi", "ccr", "tnl", "dqyma", "qyadm", "isd", "aqydm", "tjgdz", "sid", "lnt", "ymqda"]</args>; <output>[["sdi", "isd", "sid"], ["ccr"], ["tnl", "lnt"], ["dqyma", "qyadm", "aqydm", "ymqda"], ["tjgdz"]]</output>
